"Story ID","Epic","User/Actor","User Story","Acceptance Criteria","Priority","Estimate (SP)","Iteration","Scope","Rationale"
"PB-01","Authentication & Roles","All users","As a user, I want to sign in with a role-aware account so that I can access the correct functions.","Given a valid username and password, login succeeds; invalid credentials show a clear error; the user is routed to the correct dashboard based on role.","Must","5","Iteration 1","Core","Required to access every other feature."
"PB-02","Profile Management","TA","As a TA, I want to create and edit my profile so that I can present my background to recruiters.","TA can enter name, student ID, programme, skills, availability, and prior experience; required fields are validated; profile changes are saved to text-based storage.","Must","5","Iteration 1","Core","Directly supports recruitment decisions."
"PB-03","CV Handling","TA","As a TA, I want to paste or upload CV text so that the system can use it for matching and review.","System accepts CV as plain text or .txt content; saved content is linked to the applicant profile; MO can read the stored CV content.","Must","3","Iteration 1","Core","Meets text-file storage restriction."
"PB-04","Job Discovery","TA","As a TA, I want to browse open jobs so that I can decide what to apply for.","TA can see a list of open jobs with title, module, deadline, workload and status; closed jobs are clearly marked or hidden; data loads from text-based storage.","Must","3","Iteration 1","Core","Core customer journey."
"PB-05","Job Search","TA","As a TA, I want to search and filter jobs so that I can quickly find relevant opportunities.","TA can filter by module, skill, date or keyword; filtered results update correctly; reset restores the full list.","Should","3","Iteration 2","Extension","Improves usability and demo quality."
"PB-06","Job Details","TA","As a TA, I want to view detailed job requirements so that I can judge whether I am suitable.","Job detail page shows responsibilities, required skills, preferred skills, schedule, deadline and quota; missing or expired jobs show a clear message.","Must","2","Iteration 1","Core","Needed before application."
"PB-07","Application Submission","TA","As a TA, I want to apply for a job so that I can be considered for the role.","TA can submit one application per job; duplicate submission is blocked; successful submission creates an application record with timestamp and initial status.","Must","5","Iteration 2","Core","Central business flow."
"PB-08","Application Tracking","TA","As a TA, I want to track my application status so that I know whether I am shortlisted, accepted or rejected.","TA dashboard shows every submitted application and current status; status updates become visible after MO action; unknown application IDs are handled safely.","Must","3","Iteration 2","Core","Suggested explicitly in handout."
"PB-09","Application Withdrawal","TA","As a TA, I want to withdraw an application before the deadline so that I can correct mistakes or change my plan.","Withdraw option is available only before the deadline and before final decision; withdrawn status is stored and visible; workload is not counted for withdrawn applications.","Could","3","Iteration 3","Extension","Good usability extension."
"PB-10","Job Posting","MO","As an MO, I want to create a job posting so that I can recruit TAs for a module or activity.","MO can create a posting with title, description, skills, deadline, quota and workload; required fields are validated; new jobs appear in the TA job list.","Must","5","Iteration 1","Core","Suggested explicitly in handout."
"PB-11","Job Maintenance","MO","As an MO, I want to edit or close a job so that the vacancy stays accurate.","MO can update job details before the deadline; MO can close a job; closed jobs can no longer accept new applications.","Must","3","Iteration 2","Core","Needed for realistic workflow."
"PB-12","Applicant Review","MO","As an MO, I want to review applicants for a job so that I can compare candidates.","MO can see applicant list, profile summary, CV text, skills, availability and current workload; list is limited to applicants for the selected job.","Must","5","Iteration 2","Core","Supports selection decisions."
"PB-13","Applicant Decision","MO","As an MO, I want to shortlist, accept or reject applicants so that the recruitment process can move forward.","MO can change status to shortlisted, accepted or rejected; quota rules are enforced; TA is able to see the updated status.","Must","5","Iteration 2","Core","Core recruiting outcome."
"PB-14","Workload Dashboard","Admin","As an admin, I want to see each TA's total workload so that work can be distributed fairly.","Admin dashboard shows accepted assignments and total workload for every TA; data refreshes after status changes; overloaded users are clearly flagged.","Must","5","Iteration 2","Core","Suggested explicitly in handout."
"PB-15","Workload Guardrail","Admin","As an admin, I want the system to warn when workload limits are exceeded so that MOs avoid over-allocation.","System shows warning before accepting a candidate whose workload exceeds a configurable threshold; warning is recorded in the audit trail.","Should","3","Iteration 3","Extension","Supports fairness objective."
"PB-16","Job Recommendation","TA","As a TA, I want recommended jobs ranked for me so that I can focus on the most suitable opportunities.","System ranks jobs using skill match, availability and workload balance; each recommendation shows a score and brief explanation; recommendations update when profile changes.","Should","8","Iteration 3","Extension","Primary AI-powered feature."
"PB-17","Candidate Ranking","MO","As an MO, I want applicants ranked for a job so that I can shortlist faster.","System ranks applicants by required skill match, preferred skill match, availability and workload balance; ranked list includes explanation for each candidate.","Should","8","Iteration 3","Extension","High-value recommendation feature."
"PB-18","Missing Skill Insight","TA","As a TA, I want to see missing skills for a job so that I know how to improve my fit.","For each viewed job, system highlights matched skills and missing skills; explanations are understandable and based on structured rules or extracted keywords.","Should","5","Iteration 3","Extension","Explainable AI requirement."
"PB-19","Validation & Error Handling","All users","As a user, I want clear validation and error feedback so that I can recover from mistakes quickly.","Invalid input produces readable messages; missing files or unavailable records do not crash the system; error cases are demonstrated in test cases.","Must","3","Iteration 2","Core","Important for demo and acceptance tasks."
"PB-20","Audit Trail","Admin","As an admin, I want an audit trail of important actions so that decisions can be reviewed later.","System records login, job posting, application, status update and workload warning events in text-based logs; logs can be viewed or exported as CSV.","Should","5","Iteration 4","Extension","Useful for governance and viva discussion."
"PB-21","Concurrent Submission Safety","System","As the system, I want to prevent duplicate or lost applications under concurrent access so that records remain correct.","Parallel submissions do not create duplicate records for the same TA and job; successful applications are persisted safely; concurrent tests prove consistency.","Should","8","Iteration 4","Extension","High-concurrency showcase."
"PB-22","Atomic File Persistence","System","As the system, I want atomic file writes and safe reloads so that text files are not corrupted.","Writes use temp-file plus rename or equivalent safe mechanism; recovery from partial failure is tested; data can be reloaded after restart.","Should","5","Iteration 4","Extension","Essential without database."
"PB-23","Performance Optimisation","System","As the system, I want fast read performance for popular pages so that multiple users can browse smoothly.","Job browsing and recommendation pages use cached in-memory indexes or equivalent optimisation; repeated reads remain responsive under load test.","Could","5","Iteration 4","Extension","Supports scalability story."
"PB-24","Acceptance Test Support","Teaching team","As the teaching team, I want the system to support end-to-end acceptance testing so that required tasks can be demonstrated reliably.","Core scenarios for TA, MO and Admin can be executed in sequence; sample data is provided; README and user manual explain setup and testing steps.","Must","5","Iteration 4","Core","Directly supports final viva and marking."
